title,type,url_slug,venue,date,location,talk_url,description
Decentralization Analysis of Pooling Behavior in Cardano Proof of Stake,Conference talk,talk-1,3rd ACM International Conference on AI in Finance (ICAIF),2022-11-04,"New York NY, USA",,
Rewards Sharing Simulation Engine,Talk,talk-2,IOG - University of Edinburgh Research Week,2022-11-16,"Edinburgh, UK",,
Edinburgh Decentralization Index (EDI),Workshop talk,talk-3,Cardano CIP-1694 Community Workshop,2023-07-01,"Edinburgh, UK",,
Blockchain Decentralization: A Stratified Approach,Talk,talk-4,International School on Foundations of Security Analysis and Design (FOSAD),2023-08-30,"Bertinoro, Italy	",,
SoK: A Stratified Approach to Blockchain Decentralization,Conference talk,talk-5,28th International Conference Financial Cryptography and Data Security (FC),2024-03-07,"Willemstad, Curaçao",https://www.youtube.com/watch?v=rBlzjnB0k6c,
Blockchain Decentralization: A Multi-layered Affair,Poster presentation,talk-6,UK Crypto Day Poster Session,2024-06-20,"Edinburgh, UK",,
Decentralization & the Edinburgh Decentralization Index (EDI)},Workshop talk,talk-7,Scottish Government Workshop: Digital Identity and Trust - lessons from applied research and international experts,2024-09-17,"Edinburgh, UK",,
Do Blockchain Systems Achieve Decentralization?,Workshop talk,talk-8,WINE AGT@Blockchains Workshop,2024-12-06,"Edinburgh, UK",https://wine2024.org/#agt-blockchains-workshop,
Edinburgh Decentralization Index (EDI),Talk,talk-9,Webinar: A Toolbox for Regulators and Users to Measure Blockchain Decentralization,2025-05-09,Online,https://events.teams.microsoft.com/event/149e5ca0-68bf-4245-8ebe-de0a556758d7@2e9f06b0-1669-4589-8789-10a06934dc61,
SoK: Measuring Blockchain Decentralization,Conference talk,talk-10,23rd International Conference on Applied Cryptography and Network Security (ACNS),2025-06-23,"Munich, Germany",,
Indexing Decentralization,Roundtable,talk-11,Input | Output <> NIST,2025-07-16,Online,,
Senate Banking Committee Crypto Market Structure Principles Roundtable,Roundtable,talk-12,US Capitol,2025-07-17,"Washington, DC, USA",,
Measuring Blockchain Decentralization,Conference talk,talk-13,Science of Blockchain Conference (SBC),2025-08-05,"Berkeley, CA, USA",https://www.youtube.com/live/bkr3K2DiVhg?t=1872,
